127.0.0.1 - - [03/Oct/2021:20:01:35 -0500] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:01:37 -0500] "GET /Municipalidad_Provincial_de_ICA-Navegable/Loggin.jsp HTTP/1.1" 200 2882
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:01:37 -0500] "GET /Municipalidad_Provincial_de_ICA-Navegable/img/Logo.png HTTP/1.1" 200 275898
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:01:49 -0500] "GET /Municipalidad_Provincial_de_ICA-Navegable/menuPrincipar.jsp HTTP/1.1" 200 15625
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:01:49 -0500] "GET /Municipalidad_Provincial_de_ICA-Navegable/menuPrincipar.jsp HTTP/1.1" 200 15625
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:01:49 -0500] "GET /Municipalidad_Provincial_de_ICA-Navegable/img/Logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:01:49 -0500] "GET /Municipalidad_Provincial_de_ICA-Navegable/Imagen/Icono_Aplicacion.gif HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:01:59 -0500] "GET /Municipalidad_Provincial_de_ICA-Navegable/GenerarExpediente.jsp HTTP/1.1" 200 8053
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:01:59 -0500] "GET /Municipalidad_Provincial_de_ICA-Navegable/img/Logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:02:21 -0500] "GET /Municipalidad_Provincial_de_ICA-Navegable/Loggin.jsp HTTP/1.1" 200 2882
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:02:21 -0500] "GET /Municipalidad_Provincial_de_ICA-Navegable/img/Logo.png HTTP/1.1" 200 275898
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:02:25 -0500] "GET /Municipalidad_Provincial_de_ICA-Navegable/menuPrincipar.jsp HTTP/1.1" 200 15625
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:02:25 -0500] "GET /Municipalidad_Provincial_de_ICA-Navegable/Imagen/Icono_Aplicacion.gif HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:02:25 -0500] "GET /Municipalidad_Provincial_de_ICA-Navegable/menuPrincipar.jsp HTTP/1.1" 200 15625
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:02:27 -0500] "GET /Municipalidad_Provincial_de_ICA-Navegable/GenerarSolDenuncia.jsp HTTP/1.1" 200 8136
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:02:27 -0500] "GET /Municipalidad_Provincial_de_ICA-Navegable/img/CapturaGO.PNG HTTP/1.1" 200 2336
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:02:30 -0500] "GET /Municipalidad_Provincial_de_ICA-Navegable/ElaborarDocComplemen.jsp HTTP/1.1" 200 10054
0:0:0:0:0:0:0:1 - - [03/Oct/2021:20:02:32 -0500] "GET /Municipalidad_Provincial_de_ICA-Navegable/RevisarSoliDenuncia.jsp HTTP/1.1" 200 6867
